Sale_ID,Date,Brand,Shoe_Type,Color,Country,Sales_Channel,Price_USD,Units_Sold,Revenue_USD
S1,2025-11-24,Nike,Boots,Blue,UK,Online,112.4,4,449.6
S2,2025-03-13,Skechers,Boots,Grey,USA,Mall,239.16,4,956.64
S3,2025-08-05,Nike,Running,White,UK,Mall,191.04,2,382.08
S4,2025-11-05,New Balance,Casual,Green,UAE,Mall,161.7,1,161.7
S5,2025-10-07,Adidas,Formal,Grey,France,Online,64.32,14,900.48
S6,2025-03-23,Puma,Sports,White,UK,Retail Store,64.32,14,900.48
S7,2025-02-22,Reebok,Running,Blue,Saudi Arabia,Retail Store,42.78,3,128.34
S8,2025-11-06,Nike,Boots,Red,India,Online,220.56,9,1985.04
S9,2025-07-13,New Balance,Sports,Green,India,Retail Store,162.25,3,486.75
S10,2025-10-23,Skechers,Running,Black,UAE,Online,185.78,7,1300.46
S11,2025-05-29,Adidas,Running,Red,France,Retail Store,34.53,3,103.59
S12,2025-11-22,Adidas,Sports,Blue,UK,Mall,243.38,12,2920.56
S13,2025-05-17,New Balance,Boots,White,India,Mall,213.14,3,639.42
S14,2025-05-06,Reebok,Formal,Blue,UAE,Mall,76.71,6,460.26
S15,2025-10-13,Skechers,Sports,Black,UK,Online,70.0,8,560.0
S16,2025-06-11,Puma,Running,White,India,Mall,70.35,13,914.55
S17,2025-06-11,Skechers,Formal,Red,UAE,Retail Store,96.93,7,678.51
S18,2025-03-15,Adidas,Casual,Green,India,Mall,145.45,9,1309.05
S19,2025-05-15,Reebok,Sneakers,Red,France,Online,125.03,19,2375.57
S20,2025-03-12,Reebok,Running,Black,Saudi Arabia,Online,94.07,17,1599.19
S21,2025-03-20,Skechers,Formal,Grey,USA,Retail Store,164.61,6,987.66
S22,2025-07-15,Reebok,Sneakers,Blue,India,Online,60.69,20,1213.8
S23,2025-12-15,Skechers,Sneakers,Blue,Saudi Arabia,Mall,94.27,4,377.08
S24,2025-06-24,Puma,Formal,White,Germany,Online,110.6,4,442.4
S25,2025-05-15,Adidas,Sneakers,Black,Saudi Arabia,Mall,130.34,17,2215.78
S26,2025-06-02,New Balance,Casual,White,France,Online,202.74,17,3446.58
